Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
AI%2FML,RnD Engineer (CV + ML),Warbirds,https://jobs.dou.ua/companies/warbirds-boiovi-ptahi-ukraini/vacancies/341875/?from=list_hot,Not Specified,,,cv,['Київ'],False
AI%2FML,"Senior Unreal Engine C++ AI Developer Wanted! (Full-time, Remote)",CyberLight Game Studio,https://jobs.dou.ua/companies/cyberlight-game-studio/vacancies/352711/?from=list_hot,Senior,,,Not Specified,['Remote Only'],True
AI%2FML,AI Systems Engineer (Agentic Engineer),Competera,https://jobs.dou.ua/companies/competera/vacancies/348328/?from=list_hot,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,AI Tech Lead (Business Solutions),Ideals,https://jobs.dou.ua/companies/ideals/vacancies/350577/?from=list_hot,Senior,,,Not Specified,['Remote Only'],True
AI%2FML,Full Stack Developer (AI),ПУМБ,https://jobs.dou.ua/companies/fuib/vacancies/352477/?from=list_hot,Not Specified,4500.0,5000.0,Not Specified,['Remote Only'],True
AI%2FML,Python Engineer (Aerospace / Computer Vision / Embedded AI),EPAM,https://jobs.dou.ua/companies/epam-systems/vacancies/349583/?from=list_hot,Not Specified,,,Not Specified,['Київ'],False
AI%2FML,"Senior AI/ML Engineer, Agentic AI Platform",IGIS,https://jobs.dou.ua/companies/igis/vacancies/351023/?from=list_hot,Senior,,,Not Specified,['Київ'],True
AI%2FML,Junior AI Video Localization Specialist — PawChamp,SKELAR,https://jobs.dou.ua/companies/skelar/vacancies/340670/?from=list_hot,Junior,,,Not Specified,"['Київ', 'Львів']",True
AI%2FML,AI SDLC Consultant,Sombra,https://jobs.dou.ua/companies/sombra/vacancies/352990/,Not Specified,,,Not Specified,"['Київ', 'Львів', 'Івано-Франківськ']",True
AI%2FML,Lead AI Engineer — Agentic Products & Platform,Simulmedia,https://jobs.dou.ua/companies/simulmedia/vacancies/352989/,Senior,,,Not Specified,"['Київ', 'Львів']",True
AI%2FML,Senior AI Agent Engineer,Waverley,https://jobs.dou.ua/companies/waverley-software/vacancies/352963/,Senior,,,Not Specified,"['Львів', 'Харків']",True
AI%2FML,AI Engineer,OBRIO,https://jobs.dou.ua/companies/obrio/vacancies/292303/,Not Specified,,,Not Specified,['Київ'],True
AI%2FML,Machine Learning Engineer (Reinforcement Learning for UAV),Everstar,https://jobs.dou.ua/companies/everstar/vacancies/348437/,Not Specified,,,Not Specified,['Київ'],False
AI%2FML,Creative UI/UX & AI Designer,Evogence,https://jobs.dou.ua/companies/evogence/vacancies/352933/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Machine learning engineer,Artellence,https://jobs.dou.ua/companies/artellence/vacancies/352922/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,AI and Self-Service Specialist Middle,Uklon,https://jobs.dou.ua/companies/uklon/vacancies/352916/,Middle,,,Not Specified,['Київ'],False
AI%2FML,AI Video Creator,HOLYWATER TECH,https://jobs.dou.ua/companies/holy-water/vacancies/340146/,Not Specified,,,Not Specified,['Київ'],True
AI%2FML,AI Python Developer,NGM,https://jobs.dou.ua/companies/ngm-agency/vacancies/352878/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Python AI Developer Intern,QAntum,https://jobs.dou.ua/companies/qantum-one/vacancies/347352/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Senior AI Software Engineer,Forte Group,https://jobs.dou.ua/companies/forte-group/vacancies/352813/,Senior,,,Not Specified,"['Київ', 'Тернопіль']",True
AI%2FML,Тренер курсу з вайбкодингу (Vibe Coding Trainer),Web Academy,https://jobs.dou.ua/companies/web-academy/vacancies/340753/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Machine Learning Engineer (NLP / ASR Focus),SoftElegance,https://jobs.dou.ua/companies/softelegance/vacancies/352757/,Not Specified,,,nlp,['Remote Only'],True
AI%2FML,"Data Scientist/ML Engineer (Part/Full time, Remote in Lviv )",MindCraft.ai,https://jobs.dou.ua/companies/mindcraft/vacancies/54684/,Not Specified,1000.0,2500.0,Not Specified,['Remote Only'],True
AI%2FML,Social Media and Content Manager (B2B / AI),iForAI,https://jobs.dou.ua/companies/iforai/vacancies/352738/,Not Specified,,,Not Specified,['Черкаси'],False
AI%2FML,Senior AI Agent Developer (Python),Symphony Solutions,https://jobs.dou.ua/companies/symphony-solutions/vacancies/348002/,Senior,,,Not Specified,['Remote Only'],True
AI%2FML,AI Content Producer,BetterMe,https://jobs.dou.ua/companies/betterme/vacancies/347898/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Senior AI Engineer,Automat-it,https://jobs.dou.ua/companies/automat-it/vacancies/342313/,Senior,,,Not Specified,['Remote Only'],True
AI%2FML,AI Content Marketing Generalist/Copywriter,Master of Code Global,https://jobs.dou.ua/companies/masterofcodecom/vacancies/348120/,Not Specified,,,Not Specified,"['Київ', 'Черкаси']",True
AI%2FML,Strong Junior / Middle SEO Specialist (з фокусом на AI),Idea Digital Agency,https://jobs.dou.ua/companies/idea-digital-agency/vacancies/343118/,Junior,1000.0,1700.0,Not Specified,['Remote Only'],True
AI%2FML,AI Specialist,"ТОВ ""Укр Кредит Финанс""",https://jobs.dou.ua/companies/tov-ukr-kredit-finans/vacancies/347381/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,AI Content Creator (Image ads),Zeely,https://jobs.dou.ua/companies/zeely-ai/vacancies/321937/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Lead Full Stack Engineer (Java+React/Angular) with AI coding agents (#4867),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/343355/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
AI%2FML,Lead ML Engineer (Computer Vision) — Interview Expert (#5002),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293631/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
AI%2FML,Project Manager for AI Control Tower,ПриватБанк,https://jobs.dou.ua/companies/privatbank/vacancies/352692/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,"UI/UX Designer with AI Expertise (Freelance, part-time)",Relevant Software,https://jobs.dou.ua/companies/relevant-software/vacancies/352675/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Computer Vision Engineer,The Fourth Law,https://jobs.dou.ua/companies/thefourthlaw-ai/vacancies/342262/,Not Specified,,,Not Specified,['Київ'],True
AI%2FML,Machine Learning Engineer,The Fourth Law,https://jobs.dou.ua/companies/thefourthlaw-ai/vacancies/342263/,Not Specified,,,Not Specified,['Київ'],True
AI%2FML,Senior ML Engineer (Computer Vision),Kultprosvet,https://jobs.dou.ua/companies/kultprosvet/vacancies/347431/,Senior,,,Not Specified,['Дніпро'],True
AI%2FML,Project Manager with AI /LLM Experience,ЗАЗМІК,https://jobs.dou.ua/companies/zazmic/vacancies/352577/,Not Specified,,,Not Specified,['Дніпро'],True
AI%2FML,GenAI Practice Lead,TechMagic,https://jobs.dou.ua/companies/techmagic/vacancies/352554/,Senior,,,Not Specified,"['Київ', 'Львів']",True
AI%2FML,AI/ML Engineer,OKKO Group,https://jobs.dou.ua/companies/okko-group/vacancies/352547/,Not Specified,,,Not Specified,['Львів'],False
AI%2FML,Senior AI Engineer,DraftKings,https://jobs.dou.ua/companies/draftkings/vacancies/352529/,Senior,,,Not Specified,['Київ'],True
AI%2FML,ML Project Manager,PlantIn,https://jobs.dou.ua/companies/plantin/vacancies/352482/,Not Specified,,,Not Specified,['Київ'],True
AI%2FML,AI Engineer (державні проєкти),SKARB,https://jobs.dou.ua/companies/skarb/vacancies/338194/,Not Specified,,,Not Specified,['Київ'],False
AI%2FML,Senior AI Engineer (LLM/RAG/LangChain/LangGraph),EPAM,https://jobs.dou.ua/companies/epam-systems/vacancies/352466/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Одеса', 'Харків', 'Чернівці', 'Черкаси', 'Хмельницький', 'Ужгород']",True
AI%2FML,Middle AI/ML Engineer,Geniusee,https://jobs.dou.ua/companies/geniusee/vacancies/352465/,Middle,,,Not Specified,"['Київ', 'Львів']",True
AI%2FML,Content Writer (AI topics),Railsware,https://jobs.dou.ua/companies/railsware/vacancies/352438/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Python Backend Engineer (with AI / ML focus),Sunvery,https://jobs.dou.ua/companies/sunvery/vacancies/352414/,Not Specified,4500.0,4500.0,Not Specified,['Remote Only'],True
AI%2FML,Middle/Senior NLP Engineer,CHI Software,https://jobs.dou.ua/companies/chi-software/vacancies/352366/,Middle,,,nlp,"['Львів', 'Харків']",True
AI%2FML,Product Manager (AI for business customers),ПриватБанк,https://jobs.dou.ua/companies/privatbank/vacancies/352340/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,AI/ML Engineer,LITSLINK,https://jobs.dou.ua/companies/litslink/vacancies/352282/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Content Writer,Label Your Data,https://jobs.dou.ua/companies/label-your-data/vacancies/352262/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,Marketing AI Designer,Breeze,https://jobs.dou.ua/companies/breeze/vacancies/352239/,Not Specified,,,Not Specified,['Remote Only'],True
AI%2FML,AI Automation Engineer,All Right,https://jobs.dou.ua/companies/allright/vacancies/352211/,Not Specified,,,Not Specified,['Remote Only'],True
