Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
DevOps,Senior DevOps Engineer,Patrianna Limited,https://jobs.dou.ua/companies/patrianna/vacancies/341285/?from=list_hot,Senior,,,Not Specified,['Remote Only'],True
DevOps,Middle DevOps,ПУМБ,https://jobs.dou.ua/companies/fuib/vacancies/352464/?from=list_hot,Middle,3200.0,3500.0,Not Specified,['Remote Only'],True
DevOps,Infrastructure&Software Engineer — RiseGuide,SKELAR,https://jobs.dou.ua/companies/skelar/vacancies/351524/?from=list_hot,Not Specified,,,Not Specified,['Київ'],True
DevOps,Senior SRE/DevOps (Platform Tribe),Playson,https://jobs.dou.ua/companies/playson/vacancies/304451/?from=list_hot,Senior,,,Not Specified,['Київ'],True
DevOps,Middle / Senior DevOps Engineer in TechOps Infrastructure Services (#1143),ZONE3000,https://jobs.dou.ua/companies/zone3000/vacancies/354112/,Middle,,,Not Specified,['Remote Only'],True
DevOps,Senior SRE Engineer (WhiteBit),WhiteBIT,https://jobs.dou.ua/companies/whitebit/vacancies/354098/,Senior,,,Not Specified,['Other'],False
DevOps,Керівник напряму впровадження Secure CI/CD,Міністерство оборони України,https://jobs.dou.ua/companies/mod-of-ukraine/vacancies/343314/,Not Specified,,,ci/cd,['Київ'],False
DevOps,DevOps-інженер,Міністерство оборони України,https://jobs.dou.ua/companies/mod-of-ukraine/vacancies/333067/,Not Specified,,,Not Specified,['Київ'],False
DevOps,"DevOps Engineer, військовослужбовець",Хартія,https://jobs.dou.ua/companies/13-brigada-operativnogo-priznachennya-hartiya/vacancies/318932/,Not Specified,595.0,714.0,Not Specified,Not Specified,False
DevOps,Адміністратор підтримки та розвитку інфраструктур корпоративних середовищ розробки й тестування,Міністерство оборони України,https://jobs.dou.ua/companies/mod-of-ukraine/vacancies/354064/,Not Specified,,,Not Specified,['Київ'],False
DevOps,DevOps,Міністерство оборони України,https://jobs.dou.ua/companies/mod-of-ukraine/vacancies/354060/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Senior DevOps Engineer,Everstar,https://jobs.dou.ua/companies/everstar/vacancies/354054/,Senior,,,Not Specified,['Київ'],False
DevOps,DevOps / MLOps Engineer,National Bank of Ukraine,https://jobs.dou.ua/companies/national-bank-of-ukraine/vacancies/344729/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Senior DevOps Engineer,Boosters,https://jobs.dou.ua/companies/boosters-product-team/vacancies/354033/,Senior,,,Not Specified,['Remote Only'],True
DevOps,"System Reliability Engineer (Canada, USA)",Oro,https://jobs.dou.ua/companies/oro-inc/vacancies/303832/,Not Specified,,,Not Specified,['Київ'],True
DevOps,DevOps Engineer,United Tech,https://jobs.dou.ua/companies/united-tech/vacancies/354005/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,DevOps Engineer,Gameinspire,https://jobs.dou.ua/companies/gameinspire/vacancies/353990/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,DevOps/DBA Engineer,Gameinspire,https://jobs.dou.ua/companies/gameinspire/vacancies/353988/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,Team Lead DevOps for Broadcast solution company IRC290387,GlobalLogic,https://jobs.dou.ua/companies/globallogic/vacancies/353979/,Senior,,,Not Specified,['Remote Only'],True
DevOps,Middle DevOps — Relatio,SKELAR,https://jobs.dou.ua/companies/skelar/vacancies/353958/,Middle,,,Not Specified,['Remote Only'],True
DevOps,DevOps / Infrastructure Engineer,Twist Robotics,https://jobs.dou.ua/companies/twist-robotics/vacancies/349445/,Not Specified,,,Not Specified,['Львів'],False
DevOps,Senior Full-Stack Python/Angular Engineer (with DevOps/SRE skills),5BLUE Software,https://jobs.dou.ua/companies/5blue-software/vacancies/353915/,Senior,,,Not Specified,['Київ'],True
DevOps,DevOps Engineer (Windows Server & Cloud Infrastructure),JustMarkets Tech,https://jobs.dou.ua/companies/justmarkets/vacancies/344122/,Not Specified,,,Not Specified,['Київ'],True
DevOps,Senior Platform Cloud Engineer,Preply,https://jobs.dou.ua/companies/preply/vacancies/342342/,Senior,,,Not Specified,['Київ'],False
DevOps,ML OPS (hourly based salary 30 USD/h),SerpentiumSolutions,https://jobs.dou.ua/companies/serpentiumsolutions/vacancies/353770/,Not Specified,5000.0,5000.0,Not Specified,['Remote Only'],True
DevOps,Junior + Site Reliability Engineer (SRE),Gamingtec,https://jobs.dou.ua/companies/gamingtec/vacancies/317028/,Junior,,,Not Specified,['Remote Only'],True
DevOps,DevOps / Infrastructure Engineer,"Sherlock, recruitment agency",https://jobs.dou.ua/companies/sherlock-recruitment-agency/vacancies/353680/,Not Specified,3500.0,5000.0,Not Specified,['Київ'],True
DevOps,CyberSecurity / DevSecOps Engineer,Talented Dog Recruitment Agency,https://jobs.dou.ua/companies/talented-dog-recruitment-agency/vacancies/353663/,Not Specified,,,Not Specified,['Львів'],False
DevOps,DevOps Engineer,WinWin.Travel,https://jobs.dou.ua/companies/winwin-travel/vacancies/316648/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,Middle DevOps Engineer,Brights,https://jobs.dou.ua/companies/brights/vacancies/353577/,Middle,,,Not Specified,['Київ'],True
DevOps,Senior SRE / DevOps / Release Engineer (Europe),AltexSoft,https://jobs.dou.ua/companies/altexsoft/vacancies/353570/,Senior,,,Not Specified,['Other'],False
DevOps,Head of IT Infrastructure (on-premis),Everstar,https://jobs.dou.ua/companies/everstar/vacancies/348626/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Senior DevOps Engineer,YouControl,https://jobs.dou.ua/companies/youcontrol/vacancies/305654/,Senior,,,Not Specified,['Remote Only'],True
DevOps,DevOps Engineer (AWS),WiserBrand,https://jobs.dou.ua/companies/wiserbrand/vacancies/353357/,Not Specified,4000.0,4500.0,aws,['Remote Only'],True
DevOps,Senior DevOps Engineer (Azure),Customertimes,https://jobs.dou.ua/companies/customertimes/vacancies/353356/,Senior,,,Not Specified,"['Київ', 'Львів']",True
DevOps,DevOps Engineer (2604),Ciklum,https://jobs.dou.ua/companies/ciklum/vacancies/353301/,Not Specified,,,Not Specified,"['Київ', 'Львів']",True
DevOps,Senior DevOps Engineer,NDA-M,https://jobs.dou.ua/companies/nda-m/vacancies/339120/,Senior,,,Not Specified,['Київ'],False
DevOps,Middle DevOps Engineer,Omega (VARUS),https://jobs.dou.ua/companies/omega-set-varus/vacancies/310324/,Middle,2000.0,2500.0,Not Specified,['Дніпро'],True
DevOps,Senior DevOps Еngineer,Eleven,https://jobs.dou.ua/companies/eleven/vacancies/353197/,Senior,,,Not Specified,['Київ'],False
DevOps,DevOps Engineer,Farsight Vision,https://jobs.dou.ua/companies/farsight-vision/vacancies/346674/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,DevOps Engineer,Edsson,https://jobs.dou.ua/companies/edsson/vacancies/353196/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Middle DevOps (Azure) Engineer (Poland or Spain),Miratech,https://jobs.dou.ua/companies/miratech/vacancies/353191/,Middle,,,Not Specified,['Other'],False
DevOps,Middle DevOps Engineer (#5080),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/261523/,Middle,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
DevOps,Senior Release Engineer (#5050),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258396/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
DevOps,Senior AWS DevOps Engineer (#4921),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258420/,Senior,,,aws,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
DevOps,Senior DevOps Engineer (AWS),SPD Technology,https://jobs.dou.ua/companies/spd-technology/vacancies/353043/,Senior,,,aws,['Remote Only'],True
DevOps,Middle DevOps Azure,MODUS X,https://jobs.dou.ua/companies/modus-x/vacancies/347539/,Middle,,,Not Specified,['Київ'],False
DevOps,DevOps SysOps інженер,Атлон Авіа,https://jobs.dou.ua/companies/athlon-avia-unmanned-solutions/vacancies/304934/,Not Specified,,,Not Specified,['Київ'],False
DevOps,"Senior DevOps Engineer (OpenShift, On-Prem) — Tieto Tech Consulting (m/f/d)",Tieto Ukraine (ex-Infopulse Ukraine),https://jobs.dou.ua/companies/tieto/vacancies/352891/,Senior,,,Not Specified,['Remote Only'],True
DevOps,"Middle DevOps Engineer (OpenShift, On-Prem) — Tieto Tech Consulting (m/f/d)",Tieto Ukraine (ex-Infopulse Ukraine),https://jobs.dou.ua/companies/tieto/vacancies/352888/,Middle,,,Not Specified,['Remote Only'],True
DevOps,DevOps Engineer (Azure),3Shape,https://jobs.dou.ua/companies/3shape-ukraine/vacancies/347247/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Infrastructure Engineer,Maklai,https://jobs.dou.ua/companies/maklai/vacancies/352801/,Not Specified,,,Not Specified,['Київ'],True
DevOps,DevOps Engineer (Data Warehouse/AWS),Kasta.ua,https://jobs.dou.ua/companies/modnakastaua/vacancies/343671/,Not Specified,,,aws,['Київ'],True
DevOps,Middle DevOps Engineer,Nextcode.Tech,https://jobs.dou.ua/companies/nextcode-tech/vacancies/352770/,Middle,,,Not Specified,['Remote Only'],True
DevOps,Middle/Senior DevOps / SRE Engineer (Liquidity team),WhiteBIT,https://jobs.dou.ua/companies/whitebit/vacancies/337784/,Middle,,,Not Specified,['Other'],False
DevOps,Middle DevOps Engineer (GCP),Delasport,https://jobs.dou.ua/companies/delasport/vacancies/243426/,Middle,,,Not Specified,['Київ'],False
DevOps,DevOps Еngineer,Bank Pivdenny,https://jobs.dou.ua/companies/pivdenny/vacancies/316010/,Not Specified,,,Not Specified,"['Київ', 'Одеса']",True
DevOps,Infrastructure Engineer (On-prem & Cloud),Everstar,https://jobs.dou.ua/companies/everstar/vacancies/347660/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Middle DevOps Engineer,Lampa Software,https://jobs.dou.ua/companies/lampa/vacancies/331370/,Middle,,,Not Specified,['Вінниця'],False
DevOps,"DevOps / DataOps Engineer, військовослужбовець",17-та Полтавська бригада НГУ РЕЙД 2 корпус ХАРТІЯ,https://jobs.dou.ua/companies/17-ta-poltavska-brigada-ngu-reid/vacancies/328899/,Not Specified,600.0,3000.0,Not Specified,Not Specified,False
DevOps,"DevOps Engineer (Microsoft, Azure)",Nova Digital,https://jobs.dou.ua/companies/nova-digital/vacancies/347781/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,Senior Python/DevOps Software Engineer,CodeIT,https://jobs.dou.ua/companies/codeit/vacancies/347922/,Senior,,,Not Specified,['Remote Only'],True
DevOps,Lead Azure DevOps (#5067),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293632/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
DevOps,Lead Systems Engineer/ Exchange Architect (#5021),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/298040/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Тернопіль']",True
DevOps,Senior DevOps Engineer,NCube,https://jobs.dou.ua/companies/ncube/vacancies/352673/,Senior,,,Not Specified,['Київ'],True
DevOps,Senior Platform / Systems Engineer,Data Science UA,https://jobs.dou.ua/companies/data-science-ua/vacancies/352649/,Senior,,,Not Specified,['Remote Only'],True
DevOps,DevOps Engineer (expert) | Infrastructure Екосистема Дії та Мінцифри,Дія,https://jobs.dou.ua/companies/thedigital/vacancies/347181/,Not Specified,,,Not Specified,['Київ'],False
DevOps,Розробник сайтів для інтернет-магазинів (OpenCart),LoadUp,https://jobs.dou.ua/companies/loadup/vacancies/352026/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,Senior DevOps Engineer,D1,https://jobs.dou.ua/companies/d1/vacancies/352592/,Senior,,,Not Specified,['Київ'],False
DevOps,DevOps Engineer,Sparkybit,https://jobs.dou.ua/companies/sparkybit/vacancies/181129/,Not Specified,,,Not Specified,['Львів'],True
DevOps,Infrastructure Engineer — Leaply,SKELAR,https://jobs.dou.ua/companies/skelar/vacancies/352556/,Not Specified,,,Not Specified,['Remote Only'],True
DevOps,Trainee DevOps,Quod Financial,https://jobs.dou.ua/companies/quod-financial-ukraine/vacancies/268507/,Junior,,,Not Specified,['Remote Only'],True
DevOps,Senior DevOps Engineer,Meest,https://jobs.dou.ua/companies/meest-it/vacancies/352542/,Senior,,,Not Specified,['Київ'],False
DevOps,Senior DevOps / SysAdmin in Virtual Services Team (#1100),ZONE3000,https://jobs.dou.ua/companies/zone3000/vacancies/342504/,Senior,,,Not Specified,['Remote Only'],True
DevOps,Senior DevOps Engineer (2597),Ciklum,https://jobs.dou.ua/companies/ciklum/vacancies/352501/,Senior,,,Not Specified,"['Київ', 'Львів']",True
DevOps,Senior DevSecOps Engineer,Windmill Digital,https://jobs.dou.ua/companies/windmill-smart-solutions/vacancies/341148/,Senior,,,Not Specified,['Other'],False
DevOps,Senior Cloud Infrastructure Engineer (Contract Position),Pindrop,https://jobs.dou.ua/companies/pindrop/vacancies/352493/,Senior,,,Not Specified,['Remote Only'],True
DevOps,Intermediate Azure DevOps Engineer,bART Solutions,https://jobs.dou.ua/companies/bart-solutions/vacancies/269567/,Not Specified,,,Not Specified,['Львів'],True
DevOps,DevOps Engineer (on-premise / Kubernetes),COMFY,https://jobs.dou.ua/companies/comfy/vacancies/352467/,Not Specified,,,kubernetes,['Дніпро'],True
DevOps,DevOps Team Lead,Automat-it,https://jobs.dou.ua/companies/automat-it/vacancies/301979/,Senior,,,Not Specified,"['Київ', 'Львів']",True
DevOps,Service Reliability Lead,SPD Technology,https://jobs.dou.ua/companies/spd-technology/vacancies/352418/,Senior,,,Not Specified,['Other'],False
DevOps,Senior DevOps Engineer (GCP),Delasport,https://jobs.dou.ua/companies/delasport/vacancies/290423/,Senior,,,Not Specified,['Київ'],False
DevOps,DevOps Engineer,VOLMI,https://jobs.dou.ua/companies/volmi/vacancies/352357/,Not Specified,,,Not Specified,['Київ'],True
DevOps,DevOps Engineer — Data team,WiX,https://jobs.dou.ua/companies/wix/vacancies/352307/,Not Specified,,,Not Specified,"['Київ', 'Львів']",False
DevOps,Senior DevOps Engineer,Impressit,https://jobs.dou.ua/companies/impressit/vacancies/352297/,Senior,,,Not Specified,['Львів'],False
