Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
Front-end,Frontend Developer (React/CSS),Qencode,https://jobs.dou.ua/companies/qencode/vacancies/350697/?from=list_hot,Not Specified,,,"react, css","['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Одеса', 'Харків', 'Чернівці', 'Черкаси', 'Хмельницький', 'Ужгород']",True
Front-end,Frontend Tech Lead (React),Ideals,https://jobs.dou.ua/companies/ideals/vacancies/340058/?from=list_hot,Senior,,,react,['Remote Only'],True
Front-end,Junior Frontend Developer,!FESTCloud.ai,https://jobs.dou.ua/companies/festcloud-ai/vacancies/352987/,Junior,400.0,1000.0,Not Specified,['Львів'],False
Front-end,FrontEnd Developer (React JS),Adtelligent,https://jobs.dou.ua/companies/adtelligent/vacancies/352953/,Not Specified,,,react,['Remote Only'],True
Front-end,Frontend Magento2 Developer,Ven Commerce Ltd.,https://jobs.dou.ua/companies/ven-commerce-ltd/vacancies/352951/,Not Specified,,,Not Specified,['Remote Only'],True
Front-end,QA Engineer (Back/Front-end),Nova Digital,https://jobs.dou.ua/companies/nova-digital/vacancies/352897/,Not Specified,,,Not Specified,['Remote Only'],True
Front-end,Frontend Developer,ThingsBoard,https://jobs.dou.ua/companies/thingsboard-inc/vacancies/347997/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Middle FullStack Developer (Python + Frontend),PipelogicAI,https://jobs.dou.ua/companies/pipelogicai/vacancies/352861/,Middle,,,Not Specified,['Київ'],False
Front-end,Senior/Lead Front-end Developer (React),Agiliway,https://jobs.dou.ua/companies/agiliway/vacancies/352858/,Senior,,,react,['Other'],False
Front-end,Middle Front-End Engineer,OBRIO,https://jobs.dou.ua/companies/obrio/vacancies/347586/,Middle,,,Not Specified,['Remote Only'],True
Front-end,Lead Frontend Engineer (React),Zeely,https://jobs.dou.ua/companies/zeely-ai/vacancies/348286/,Senior,,,react,['Remote Only'],True
Front-end,Frontend Engineer,WiX,https://jobs.dou.ua/companies/wix/vacancies/149049/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Front-End Engineer (Vue),Ampelfy,https://jobs.dou.ua/companies/ampelfy/vacancies/352582/,Not Specified,1500.0,1500.0,vue,['Remote Only'],True
Front-end,"Middle Frontend Developer (React, TypeScript)",LIS (лабораторія інформаційних систем),https://jobs.dou.ua/companies/lis/vacancies/341412/,Middle,,,"react, typescript",['Київ'],False
Front-end,Team Lead Front End (React) Developer,Academy SMART,https://jobs.dou.ua/companies/academy-smart/vacancies/352571/,Senior,,,react,['Remote Only'],True
Front-end,Front End Game Developer,Playtech,https://jobs.dou.ua/companies/playtech/vacancies/341594/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Senior Front-end Developer,Checkbox Group,https://jobs.dou.ua/companies/checkbox/vacancies/352557/,Senior,,,Not Specified,['Remote Only'],True
Front-end,"Lead Full Stack Frontend Engineer (React.js, Node.js)",Atlaslive,https://jobs.dou.ua/companies/atlas/vacancies/352444/,Senior,,,react,['Remote Only'],True
Front-end,Middle Front-End Developer,BRO.careers,https://jobs.dou.ua/companies/bro-careers/vacancies/352392/,Middle,,,Not Specified,['Київ'],True
Front-end,Senior Front-End (React.js) Developer,Inoxoft,https://jobs.dou.ua/companies/inoxoft/vacancies/352380/,Senior,,,react,['Remote Only'],True
Front-end,Senior Frontend Developer,Anadea,https://jobs.dou.ua/companies/anadea/vacancies/352288/,Senior,,,Not Specified,['Remote Only'],True
Front-end,Intern front-end developer (Kyiv office),King Group,https://jobs.dou.ua/companies/king-group/vacancies/319386/,Not Specified,500.0,600.0,Not Specified,['Київ'],False
Front-end,Senior Front-end Developer,YachtWay,https://jobs.dou.ua/companies/yachtway/vacancies/269738/,Senior,3500.0,4000.0,Not Specified,['Remote Only'],True
Front-end,Middle Frontend React Developer,PayForce,https://jobs.dou.ua/companies/payforce/vacancies/352161/,Middle,,,react,['Київ'],False
Front-end,Senior Frontend React Developer (only EU),A-listware,https://jobs.dou.ua/companies/a-listware/vacancies/351956/,Senior,,,react,['Other'],False
Front-end,Frontend Developer,Fantik Studio,https://jobs.dou.ua/companies/fantik-studio/vacancies/351700/,Not Specified,300.0,700.0,Not Specified,['Remote Only'],True
Front-end,Front-End Developer (next.js),Gameinspire,https://jobs.dou.ua/companies/gameinspire/vacancies/346727/,Not Specified,,,Not Specified,['Remote Only'],True
Front-end,"Frontend Developer, based in Slovenia (JavaScript, TypeScript)",CQG,https://jobs.dou.ua/companies/cqg/vacancies/347112/,Not Specified,,,"javascript, typescript",['Remote Only'],True
Front-end,Frontend/React розробник,Рекрутинговий центр СБС,https://jobs.dou.ua/companies/rekrutingovii-tsentr-sil-bezpilotnih-sistem/vacancies/332735/,Not Specified,1200.0,1200.0,react,Not Specified,False
Front-end,Junior Frontend Developer (WordPress / Landing Pages),PSV Game Studio,https://jobs.dou.ua/companies/psv-game-studio/vacancies/351711/,Junior,,,Not Specified,['Remote Only'],True
Front-end,Frontend Lead,Keiki,https://jobs.dou.ua/companies/keiki/vacancies/341620/,Senior,,,Not Specified,['Київ'],False
Front-end,Senior Frontend Engineer,Центр інновацій та розвитку оборонних технологій МОУ,https://jobs.dou.ua/companies/cidtd/vacancies/335461/,Senior,,,Not Specified,['Київ'],False
Front-end,Senior Front end Developer (Vue.js),Qubit Labs,https://jobs.dou.ua/companies/qubit-labs/vacancies/336645/,Senior,,,vue,['Remote Only'],True
Front-end,Hardware Developer (RF Front-End / SDR),Alfatec Group,https://jobs.dou.ua/companies/alfatec-group/vacancies/326084/,Not Specified,,,Not Specified,['Київ'],True
Front-end,"Senior/Lead Frontend Developer (Slots, Pixi.js)",NeverEnding,https://jobs.dou.ua/companies/neverending/vacancies/351580/,Senior,,,Not Specified,['Remote Only'],True
Front-end,Middle Frontend/AI Developer (Telecommunication),Sigma Software,https://jobs.dou.ua/companies/sigma-software/vacancies/351475/,Middle,,,Not Specified,"['Київ', 'Львів', 'Івано-Франківськ', 'Вінниця', 'Одеса', 'Тернопіль', 'Чернівці']",True
