Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
QA,"Junior QA Engineer (Kyiv, office)",Atola Technology,https://jobs.dou.ua/companies/atola-technology/vacancies/352762/?from=list_hot,Junior,,,Not Specified,['Київ'],False
QA,"Middle QA Automation Engineer (Java, office, Kyiv)",Delasport,https://jobs.dou.ua/companies/delasport/vacancies/247571/?from=list_hot,Middle,,,Not Specified,['Київ'],False
QA,Випробувальник БПЛА в R&D команду,Warbirds,https://jobs.dou.ua/companies/warbirds-boiovi-ptahi-ukraini/vacancies/270293/?from=list_hot,Not Specified,,,Not Specified,['Київ'],False
QA,Automated Security Testing Engineer,Itransition,https://jobs.dou.ua/companies/itransition/vacancies/352407/?from=list_hot,Not Specified,,,Not Specified,['Київ'],True
QA,Automation QA Engineer,Ubiquiti,https://jobs.dou.ua/companies/ubiquiti-networks/vacancies/107693/?from=list_hot,Not Specified,,,Not Specified,['Київ'],False
QA,Senior manual QA Warsaw office,Realplayltd,https://jobs.dou.ua/companies/realplayltd/vacancies/350666/?from=list_hot,Senior,,,Not Specified,['Other'],False
QA,Manual QA (Payment Module),Precoro,https://jobs.dou.ua/companies/precoro/vacancies/351175/?from=list_hot,Not Specified,,,Not Specified,['Київ'],False
QA,Manual QA Engineer (Junior/Strong Junior),Lemberg Solutions,https://jobs.dou.ua/companies/lemberg-solutions/vacancies/352991/,Junior,,,Not Specified,['Львів'],False
QA,Automation QA Engineer (2485),Ciklum,https://jobs.dou.ua/companies/ciklum/vacancies/352988/,Not Specified,,,Not Specified,"['Київ', 'Львів']",True
QA,QA Engineer (Kyiv located),DataRoot Labs,https://jobs.dou.ua/companies/dataroot/vacancies/346478/,Not Specified,2200.0,2200.0,Not Specified,['Київ'],False
QA,Intern QA Game Engineer,JetArt Games,https://jobs.dou.ua/companies/jetart-games/vacancies/352967/,Not Specified,500.0,500.0,Not Specified,['Київ'],False
QA,Quality Assurance Engineer (abroad),Iquality,https://jobs.dou.ua/companies/iquality/vacancies/352965/,Not Specified,,,Not Specified,['Other'],False
QA,Manual QA (Middle),"Медична лабораторія ""DILA""",https://jobs.dou.ua/companies/ml-dila/vacancies/315025/,Middle,,,Not Specified,['Київ'],True
QA,QA Engineer,Influence Pro Services,https://jobs.dou.ua/companies/influence-pro-services/vacancies/339357/,Not Specified,,,Not Specified,['Remote Only'],True
QA,Manual QA (Strong Junior/Middle),Friendly Fox,https://jobs.dou.ua/companies/friendly-fox/vacancies/352957/,Junior,,,Not Specified,['Remote Only'],True
QA,Manual QA Engineer (Billing project),Clario,https://jobs.dou.ua/companies/clario/vacancies/277635/,Not Specified,,,Not Specified,"['Київ', 'Львів', 'Івано-Франківськ', 'Тернопіль', 'Луцьк', 'Рівне']",True
QA,Manual QA Engineer (Middle) UAV,Skyeton,https://jobs.dou.ua/companies/aviation-production-company-skyeton/vacancies/340878/,Middle,,,Not Specified,['Other'],False
QA,QA Automation Lead (Warsaw office),Realplayltd,https://jobs.dou.ua/companies/realplayltd/vacancies/352906/,Senior,,,Not Specified,['Other'],False
QA,QA Engineer,The Fourth Law,https://jobs.dou.ua/companies/thefourthlaw-ai/vacancies/340466/,Not Specified,,,Not Specified,['Київ'],False
QA,QA Engineer (Back/Front-end),Nova Digital,https://jobs.dou.ua/companies/nova-digital/vacancies/352897/,Not Specified,,,Not Specified,['Remote Only'],True
QA,Strong Junior / Middle Manual QA Engineer in System QA Team (#1141),ZONE3000,https://jobs.dou.ua/companies/zone3000/vacancies/352884/,Junior,,,Not Specified,['Remote Only'],True
QA,Junior Embedded QA Engineer,Eleven,https://jobs.dou.ua/companies/eleven/vacancies/352882/,Junior,,,Not Specified,['Київ'],False
QA,Automation QA Engineer,Gameinspire,https://jobs.dou.ua/companies/gameinspire/vacancies/327254/,Not Specified,,,Not Specified,['Remote Only'],True
QA,"Manual QA Engineer (Back-end), Cloud Core Stream",Ajax Systems,https://jobs.dou.ua/companies/ajax-systems/vacancies/352875/,Not Specified,,,Not Specified,['Київ'],False
QA,Web QA Engineer з досвідом у FinTech сфері,CS Ltd,https://jobs.dou.ua/companies/cs-ltd/vacancies/298109/,Not Specified,,,Not Specified,['Remote Only'],True
QA,Middle QA Engineer,dok.ua,https://jobs.dou.ua/companies/dok/vacancies/322405/,Middle,,,Not Specified,['Київ'],False
QA,Senior Performance Analyst,EPAM,https://jobs.dou.ua/companies/epam-systems/vacancies/352824/,Senior,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Одеса', 'Харків', 'Чернівці', 'Черкаси', 'Хмельницький', 'Ужгород']",True
QA,QA Automation Engineer,NDA Recruitment,https://jobs.dou.ua/companies/nda-recruitment/vacancies/352815/,Not Specified,,,Not Specified,['Київ'],True
QA,QA Team Lead,GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/347798/,Senior,,,Not Specified,['Remote Only'],True
QA,QA Automation Engineer,Kyivstar.Tech,https://jobs.dou.ua/companies/kyivstar-tech/vacancies/352808/,Not Specified,,,Not Specified,['Київ'],True
QA,Embedded Systems (Hardware) QA (EM Value Stream),Svarock,https://jobs.dou.ua/companies/svarock/vacancies/341446/,Not Specified,,,Not Specified,['Київ'],False
QA,QA Lead,Мрія,https://jobs.dou.ua/companies/mriia/vacancies/352789/,Senior,,,Not Specified,['Київ'],False
QA,QA Engineer (Manual) / Тестувальник,AniArt,https://jobs.dou.ua/companies/aniart/vacancies/352758/,Not Specified,1000.0,2000.0,Not Specified,['Київ'],False
QA,Manual QA (middle) | Web Дія,Дія,https://jobs.dou.ua/companies/thedigital/vacancies/339626/,Middle,,,Not Specified,['Київ'],False
QA,Senior QA Engineer,P-Product,https://jobs.dou.ua/companies/p-product/vacancies/352747/,Senior,,,Not Specified,['Remote Only'],True
QA,"Data Analyst / QA, військовослужбовець",17-та Полтавська бригада НГУ РЕЙД 2 корпус ХАРТІЯ,https://jobs.dou.ua/companies/17-ta-poltavska-brigada-ngu-reid/vacancies/328915/,Not Specified,600.0,3000.0,Not Specified,Not Specified,False
QA,"Senior QA Engineer (Automation & General), Game Tribe",Playson,https://jobs.dou.ua/companies/playson/vacancies/333582/,Senior,,,Not Specified,['Remote Only'],True
QA,General QA Engineer,Reenbit,https://jobs.dou.ua/companies/reenbit/vacancies/352723/,Not Specified,,,Not Specified,['Львів'],True
QA,Junior QA Engineer,Patrianna Limited,https://jobs.dou.ua/companies/patrianna/vacancies/309812/,Junior,,,Not Specified,['Remote Only'],True
QA,Middle QA Engineer,Uptech,https://jobs.dou.ua/companies/uptech-team/vacancies/352708/,Middle,,,Not Specified,['Remote Only'],True
QA,QA Engineer,IntellectEU,https://jobs.dou.ua/companies/intellecttechnologies-llc/vacancies/352702/,Not Specified,,,Not Specified,['Remote Only'],True
QA,Senior/Middle Test Engineer (Loyalty Platform),Sigma Software,https://jobs.dou.ua/companies/sigma-software/vacancies/352691/,Middle,,,Not Specified,"['Київ', 'Львів', 'Дніпро', 'Івано-Франківськ', 'Вінниця', 'Одеса', 'Тернопіль', 'Харків', 'Чернівці', 'Черкаси', 'Луцьк']",True
QA,Senior Automation QA Engineer (2616),Ciklum,https://jobs.dou.ua/companies/ciklum/vacancies/352687/,Senior,,,Not Specified,"['Київ', 'Львів']",True
QA,Automation QA Engineer (Python),IT SmartFlex,https://jobs.dou.ua/companies/it-smartflex/vacancies/352658/,Not Specified,,,Not Specified,['Київ'],True
QA,Middle Mobile (Unity) QA Engineer,Patrianna Limited,https://jobs.dou.ua/companies/patrianna/vacancies/352651/,Middle,,,Not Specified,['Remote Only'],True
QA,Middle QA Engineer,AnyforSoft,https://jobs.dou.ua/companies/anyforsoft/vacancies/352641/,Middle,,,Not Specified,['Remote Only'],True
QA,Junior QA / QC Manual (Robotics),Кластер IRON,https://jobs.dou.ua/companies/klaster-iron/vacancies/352623/,Junior,,,Not Specified,['Львів'],False
QA,Інженер з якості (Battery / Hardware),BTRY.ENERGY,https://jobs.dou.ua/companies/btry-energy/vacancies/352613/,Not Specified,1200.0,1200.0,Not Specified,['Київ'],False
QA,Manual QA Engineer (2560),Ciklum,https://jobs.dou.ua/companies/ciklum/vacancies/352583/,Not Specified,,,Not Specified,"['Київ', 'Львів']",True
QA,QA Engineer (Remote),TGA Digital,https://jobs.dou.ua/companies/tga-digital/vacancies/352572/,Not Specified,2000.0,3200.0,Not Specified,['Remote Only'],True
QA,Senior Mobile AQA Engineer (Android),OBRIO,https://jobs.dou.ua/companies/obrio/vacancies/347512/,Senior,,,Not Specified,"['Київ', 'Львів']",True
